0	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
698	4	4-4-7-3-4-4-4-5-4-4-4-3	4-3-3-5-4-5-5-5-3-2-5-5	6-5-6-2-4-5-3-3-5-2-3-4	5-5-5-5-2-2-5-2-3-3-5-6	3-5-4-4-5-3-3-4-5-5-4-2	5-2-3-4-5-2-3-2-1-3-3-2	1-2-2-5-4-4-3-5-4-2-4-3	5-3-5-3-3-5-3-2-2-4-5-5	5-4-5-2-2-5-5-7-6-4-2-5	5-3-6-3-5-3-1-2-5-5-5-2	5-2-4-3-5-5-5-5-5-2-3-4	1-2-2-4-5-5-4-5-5-3-1-2
698	5	6-6-6-7-6-6-7-6-6-6-6-6	6-6-6-4-6-6-4-6-6-6-6-4	5-6-6-6-6-7-6-6-6-6-5-6	6-4-4-6-6-6-6-6-6-6-6-4	6-4-6-6-4-6-6-6-5-5-6-6	4-6-6-6-4-6-6-6-5-5-3-5	6-5-5-4-4-5-6-4-5-5-7-6	5-6-4-6-6-4-6-6-6-5-6-4	4-4-4-6-6-6-4-6-4-4-6-4	4-6-5-6-6-6-5-6-4-4-4-6	4-6-6-6-4-4-4-4-4-6-6-5	7-6-6-4-4-4-6-4-4-4-6-3
698	6	5-5-5-5-5-5-5-5-5-5-5-7	6-5-5-4-5-5-4-5-5-5-5-7	4-5-4-5-5-6-5-5-7-5-6-5	5-6-6-5-5-5-5-5-5-5-5-4	5-4-5-5-6-5-7-5-6-6-5-5	7-5-5-5-3-5-5-5-6-6-3-6	5-5-3-3-6-6-5-7-6-5-5-5	6-5-4-5-5-5-3-5-5-4-5-4	6-4-6-5-5-5-4-5-4-3-5-4	5-5-6-5-5-7-5-5-0-5-5-5	5-5-5-5-3-7-4-4-5-5-5-6	7-5-5-5-5-1-5-4-2-2-5-5
698	7	7-5-5-5-7-5-5-7-5-5-5-6	6-5-7-4-7-7-4-7-6-7-5-6	7-7-7-6-7-7-5-6-6-7-5-7	5-7-7-7-7-7-5-7-6-7-7-4	5-4-7-7-7-7-6-7-7-7-5-5	6-7-7-6-7-7-7-7-7-7-7-7	6-7-7-4-6-7-7-7-7-5-5-5	7-7-7-6-7-6-5-2-5-4-5-4	0-4-7-6-2-7-7-4-7-5-5-1	5-7-7-7-7-6-7-6-7-7-4-7	4-5-1-5-3-4-4-4-4-5-7-7	7-5-6-5-0-7-7-4-7-7-2-7
699	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
699	1	1-1-1-1-1-1-1-1-1-1-1-1	1-0-0-1-0-0-0-1-0-1-0-2	2-3-0-3-2-2-0-0-0-3-2-2	2-0-2-2-2-2-0-1-1-0-1-0	1-0-1-2-0-1-2-2-1-1-1-2	3-3-3-0-1-2-2-1-1-1-3-2	3-3-1-0-2-0-1-2-1-1-0-2	1-3-3-2-3-0-1-1-1-1-0-0	0-0-2-3-3-0-0-3-2-2-3-0	0-3-0-0-2-3-2-1-2-1-0-3	0-1-1-1-0-1-0-0-0-2-2-0	0-1-1-2-0-1-3-0-3-2-1-1
699	2	2-2-2-3-2-2-2-2-2-2-2-3	1-3-3-1-0-3-0-3-3-3-3-3	1-2-0-2-1-1-3-0-3-4-3-1	1-2-3-1-1-1-3-2-3-3-3-0	1-0-4-1-2-1-3-1-3-2-1-1	3-2-1-0-2-1-3-1-2-2-5-1	4-0-2-3-1-2-3-1-2-2-0-1	2-3-1-1-2-3-5-2-2-2-0-2	2-0-1-1-2-0-3-1-3-1-1-2	0-1-2-3-1-0-1-2-1-3-3-1	3-2-0-7-8-0-0-0-3-1-1-2	7-1-0-3-4-3-1-0-5-1-6-1
699	3	3-2-3-2-3-3-3-2-3-3-3-2	3-2-2-3-4-2-3-2-2-2-4-3	5-4-5-4-1-1-2-3-2-1-2-3	4-6-2-1-1-1-2-1-2-2-2-7	1-8-2-3-3-2-2-4-2-3-4-5	1-1-1-3-3-6-2-1-2-2-1-3	6-1-2-2-6-3-2-4-3-1-6-1	6-1-6-1-1-2-2-1-6-3-6-6	5-5-5-1-1-3-6-6-2-3-1-2	6-6-2-2-4-1-2-2-4-5-6-1	5-1-3-2-3-5-5-6-6-1-1-3	6-1-6-2-5-1-1-7-6-6-1-1
699	4	6-4-7-5-4-5-4-6-5-5-5-5	6-5-4-3-7-5-6-5-6-5-5-5	4-5-7-5-5-5-5-5-5-5-4-5	5-4-5-5-1-5-5-5-5-5-4-5	7-4-5-7-3-4-5-4-5-5-7-4	5-6-5-5-5-5-4-7-5-4-2-5	5-5-4-4-4-4-2-4-5-7-4-7	4-4-1-4-4-6-6-7-3-4-5-4	4-3-3-3-7-7-2-3-5-4-1-7	4-4-5-4-4-4-5-4-3-6-3-1	3-7-3-2-6-8-3-4-8-4-5-6	6-5-4-8-3-7-5-3-4-4-4-4
699	5	4-4-4-4-4-4-4-4-4-4-4-4	4-4-4-6-5-4-5-4-4-4-4-4	3-4-4-4-6-4-4-4-4-4-4-4	6-3-4-4-6-7-4-4-4-4-6-3	1-3-4-4-3-4-6-6-4-4-4-7	4-4-4-5-4-4-6-5-4-4-2-4	4-4-4-7-4-5-5-6-4-4-7-6	4-6-3-6-6-4-8-7-3-3-7-3	3-3-3-6-4-4-3-7-4-4-5-2	5-7-4-4-7-6-4-2-6-3-3-6	3-4-3-2-4-4-3-3-3-7-4-5	4-6-5-7-3-4-6-3-2-3-1-1
699	6	4-7-4-5-6-4-4-4-4-4-4-4	4-7-6-5-4-4-4-7-4-4-4-4	3-6-4-4-5-4-7-7-4-5-7-6	5-3-4-5-5-5-4-4-7-4-7-3	7-3-7-6-3-7-7-5-7-6-4-5	4-4-7-5-6-3-5-5-4-6-7-6	7-4-4-3-3-8-7-7-4-4-3-5	3-5-3-5-5-4-7-5-3-2-3-3	3-3-4-5-6-4-3-3-4-6-5-2	3-3-4-4-5-5-4-2-5-4-3-5	3-4-3-2-4-4-3-3-3-5-4-4	4-5-3-7-3-4-5-0-3-3-7-4
699	7	8-6-4-5-6-4-4-4-4-4-4-8	4-6-6-5-4-4-5-6-8-4-8-8	3-7-4-4-5-7-6-6-8-7-6-6	5-7-7-5-5-5-8-4-6-4-6-3	6-3-4-4-7-6-6-5-6-4-4-5	4-4-6-4-4-4-6-5-7-6-6-8	6-4-6-5-6-7-6-6-7-4-5-4	4-5-1-8-5-4-6-5-8-3-5-7	7-3-3-7-4-4-2-7-4-4-5-4	8-5-7-2-8-5-4-2-8-6-3-5	6-4-4-2-4-4-3-3-6-5-4-7	4-8-7-6-5-4-5-3-6-3-6-1
699	8	8-6-8-5-8-4-4-8-4-4-4-7	4-6-8-5-8-4-5-8-8-8-7-7	8-8-8-4-8-8-7-7-7-8-4-8	7-8-8-8-8-8-7-8-7-8-8-3	4-3-8-8-8-8-7-8-6-8-4-4	4-8-8-7-8-8-8-8-8-8-8-8	7-8-8-8-7-6-7-8-8-8-7-4	8-6-8-7-8-7-5-5-7-4-4-4	7-4-5-7-1-8-8-7-4-4-6-2	7-3-8-8-8-7-8-2-7-8-6-8	3-4-4-4-4-4-3-3-4-7-8-8	8-7-7-4-4-8-8-3-8-8-7-4
700	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
700	1	1-1-1-1-0-1-1-1-1-1-1-1	1-0-0-1-0-2-1-0-0-1-0-2	5-1-2-2-2-2-3-2-2-0-3-1	1-2-2-1-1-2-0-2-2-2-0-1	0-4-1-0-2-0-2-1-2-4-1-1	0-1-0-0-0-0-2-1-1-0-0-2	0-0-0-4-0-1-0-2-0-1-1-0	0-0-4-0-0-2-0-0-0-2-0-0	0-2-0-0-0-0-2-2-0-0-0-0	0-0-1-0-0-1-0-0-1-2-4-0	4-0-0-0-4-1-2-4-4-1-0-1	1-0-1-2-1-1-1-1-1-1-1-1
700	2	2-1-3-2-2-2-2-2-2-2-2-3	2-3-0-4-0-1-3-3-0-3-3-1	1-3-1-4-3-1-2-1-1-3-2-3	3-1-1-3-3-4-0-4-3-1-2-1	3-1-2-3-4-3-3-3-1-5-4-3	2-1-3-6-2-4-3-3-0-0-0-4	4-4-0-1-3-0-2-1-0-5-2-3	0-5-5-3-5-1-0-5-2-1-0-0	8-2-1-3-5-2-1-1-2-2-5-3	3-2-0-2-3-5-3-0-3-1-0-5	1-5-6-0-0-1-1-1-1-2-4-0	1-3-1-1-1-2-5-1-2-6-2-5
700	3	3-3-2-3-3-3-3-3-3-2-3-2	2-6-3-2-0-4-2-4-2-2-2-4	1-2-1-2-2-5-4-3-2-2-4-2	2-1-2-2-2-2-4-2-4-3-4-1	2-1-1-2-3-2-4-2-4-0-2-2	2-1-4-2-3-2-4-2-6-3-3-3	2-2-3-1-2-3-3-2-0-4-5-2	0-2-2-4-2-1-4-0-2-2-0-3	7-2-4-2-3-2-8-1-4-3-2-2	2-4-0-0-2-7-2-3-4-4-5-2	2-4-8-3-1-1-4-1-1-2-2-0	1-2-2-4-2-4-2-2-4-4-2-6
700	4	4-4-2-4-5-4-4-4-4-4-4-6	2-5-3-2-5-3-2-3-6-5-2-5	1-2-1-2-2-7-5-3-2-2-5-5	2-5-5-2-2-2-5-2-5-5-3-1	2-1-1-5-2-3-5-4-5-1-2-2	2-1-3-8-4-2-5-2-4-4-5-2	2-2-4-1-5-7-5-5-0-3-2-5	0-2-1-3-2-1-6-0-2-5-6-4	0-2-3-5-3-3-1-1-5-7-2-3	2-3-4-0-5-6-2-7-3-3-8-2	1-3-5-4-1-1-3-1-1-2-2-4	7-2-1-3-4-3-2-4-6-3-6-3
700	5	5-4-2-7-4-4-4-6-4-5-5-8	5-4-4-2-4-5-7-6-6-6-6-6	1-6-7-2-2-6-4-6-8-6-4-4	6-4-4-2-2-2-4-6-4-7-3-2	2-1-8-4-5-3-6-5-4-5-2-2	5-6-3-2-5-7-6-2-3-4-4-6	3-5-4-5-5-5-4-4-5-2-1-6	6-2-2-3-2-5-4-2-5-4-6-6	6-5-8-4-2-6-6-5-4-5-2-5	5-5-7-6-4-2-4-4-6-6-4-2	6-2-5-3-5-8-5-5-6-2-5-5	6-5-5-5-1-5-2-5-5-3-4-2
700	6	7-6-8-8-4-6-8-7-6-8-6-7	5-4-3-7-6-5-7-7-7-5-7-5	7-5-5-8-7-5-7-7-5-7-3-7	5-7-5-6-7-7-4-7-7-5-7-2	2-5-0-7-1-7-7-7-6-6-7-7	6-5-7-2-5-5-7-7-3-6-0-5	3-6-6-1-7-5-4-7-6-7-7-6	5-7-7-7-7-5-4-8-5-5-7-5	5-5-5-5-7-8-5-7-5-6-7-4	8-8-5-5-7-4-7-4-5-5-3-7	5-7-6-3-6-5-5-7-5-6-6-6	5-5-5-5-7-6-6-5-4-6-7-3
700	7	6-8-6-6-4-8-8-6-8-7-6-8	5-4-4-6-6-8-6-6-8-6-6-5	6-6-5-6-6-7-6-6-8-6-7-6	7-6-7-6-6-6-4-6-6-5-6-1	6-1-4-6-7-6-6-6-7-7-6-6	8-0-6-2-7-5-6-6-7-7-0-6	4-6-4-8-6-5-7-6-7-6-6-6	7-6-6-6-6-8-4-6-8-4-6-5	7-7-7-6-6-7-5-7-4-4-6-7	7-6-5-5-6-4-6-4-2-7-3-6	5-6-6-3-8-5-7-7-8-6-6-7	5-7-5-5-6-6-6-5-4-7-2-6
700	8	8-7-6-6-8-7-6-8-7-6-6-8	5-4-8-6-8-7-5-6-8-8-6-6	8-8-8-6-8-8-7-7-5-8-8-8	7-8-7-8-8-8-4-8-8-8-8-1	6-1-5-8-8-8-7-8-8-8-6-6	7-8-7-5-8-8-8-8-8-8-8-8	5-8-8-8-6-8-8-6-8-8-8-6	8-8-6-7-8-7-6-6-7-5-6-7	6-8-5-8-2-8-8-7-8-4-6-0	6-6-8-8-8-2-8-4-8-8-4-8	8-8-3-3-6-5-7-6-8-7-8-8	5-5-5-7-8-8-8-5-8-8-2-8
701	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
701	1	1-0-1-1-1-0-1-1-1-0-1-1	0-0-0-1-0-1-0-2-0-0-0-0	3-2-0-3-2-2-2-0-0-2-0-1	2-0-0-2-3-2-0-2-1-0-1-0	1-0-1-0-0-1-2-2-1-0-0-1	1-0-0-0-1-4-2-1-1-1-0-2	1-1-1-0-2-0-1-2-1-1-1-3	0-1-1-1-1-0-0-1-1-0-0-0	1-0-2-2-4-1-0-2-0-1-1-1	3-2-0-2-2-2-0-1-2-0-0-4	0-1-0-0-0-1-0-0-0-1-1-0	0-2-1-0-0-1-1-0-1-1-1-1
701	2	2-2-3-2-3-2-2-2-2-2-2-2	1-4-2-1-0-2-0-1-0-2-0-1	1-1-0-1-1-1-3-0-0-1-3-1	1-3-2-1-1-1-3-1-5-2-4-0	2-0-1-2-0-4-3-1-2-2-0-1	1-0-3-0-3-1-3-1-2-2-6-1	1-1-4-0-1-3-3-1-2-2-0-1	4-4-1-1-1-0-5-3-1-0-0-0	3-0-3-1-3-1-0-1-3-2-2-5	0-1-2-6-1-1-1-2-1-0-3-3	3-1-0-2-7-0-0-3-3-5-1-2	3-1-1-3-3-7-1-0-0-4-4-4
701	3	3-2-2-3-3-2-3-4-3-3-4-3	4-2-2-1-0-4-1-5-4-3-4-4	1-1-0-4-4-4-5-2-5-4-2-5	4-2-4-4-1-1-4-1-4-4-1-1	1-0-0-4-1-2-4-1-4-3-4-7	3-4-2-7-2-1-2-1-2-3-2-3	3-1-2-0-1-2-2-4-3-2-0-1	3-0-4-1-2-3-4-4-1-5-4-0	2-0-2-1-2-3-0-4-7-6-4-4	1-3-3-4-4-1-2-3-1-0-2-2	2-1-3-4-4-3-0-2-2-2-4-3	2-4-1-2-2-3-1-0-3-1-7-2
701	4	4-4-4-4-4-3-5-6-4-4-6-7	3-2-2-4-6-3-5-5-3-6-3-5	4-5-5-3-3-3-3-5-3-1-3-3	5-5-5-3-1-5-5-4-3-3-2-5	1-4-4-3-5-2-5-4-3-4-3-4	4-4-3-4-5-6-3-1-3-3-0-4	6-1-2-5-5-6-2-3-4-2-4-3	2-2-6-3-1-5-3-3-4-4-3-7	4-5-5-1-1-3-5-5-6-4-3-3	5-1-3-3-3-1-4-3-4-5-5-1	5-1-3-3-3-5-5-4-5-2-3-4	4-3-4-5-5-4-4-4-3-2-2-2
701	5	4-7-7-7-5-5-7-5-4-5-5-5	5-2-2-6-6-6-4-6-6-4-6-6	4-6-4-6-6-6-6-4-3-6-6-3	4-4-4-3-6-6-4-5-6-3-6-4	5-4-4-6-4-6-6-6-5-4-5-6	6-6-6-5-4-6-6-5-3-5-2-6	4-5-2-4-4-4-3-6-5-6-6-5	0-6-6-6-6-4-2-6-4-5-7-4	4-4-4-6-6-5-4-6-4-6-6-2	4-6-3-4-6-6-6-3-1-4-4-7	4-1-7-3-6-4-4-0-4-2-5-3	4-5-5-4-4-5-5-4-6-5-7-6
701	6	5-7-5-5-5-7-7-7-7-5-5-7	7-2-2-5-7-7-5-5-5-4-5-5	7-5-4-5-5-5-5-7-5-5-6-3	5-6-4-4-5-5-7-5-5-3-5-4	5-4-4-5-6-5-7-5-6-3-5-5	7-5-5-7-6-5-5-5-6-6-2-5	4-5-2-4-7-4-2-7-6-5-5-5	6-5-4-5-5-6-7-5-6-6-5-6	6-6-2-5-5-5-4-6-3-5-5-2	0-6-2-7-5-5-5-4-6-6-4-5	2-6-7-7-5-5-7-4-4-7-5-6	4-7-6-4-6-5-5-4-5-5-5-5
701	7	7-6-5-5-7-6-6-7-6-5-5-6	6-7-7-5-7-7-5-5-7-7-5-5	7-7-7-5-7-7-7-6-7-7-6-7	7-7-7-7-7-7-6-7-6-7-7-6	5-4-4-7-6-6-6-7-7-7-5-5	6-5-7-6-7-7-6-7-7-7-7-6	6-7-7-7-6-7-7-7-7-7-7-7	7-6-5-6-7-6-7-5-1-4-5-4	6-7-7-7-5-7-7-6-3-2-5-5	4-7-7-7-7-5-7-6-6-7-2-7	2-7-5-6-2-4-6-6-7-7-7-2	4-6-6-4-2-7-7-7-5-7-5-7
702	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
702	1	1-0-1-1-1-1-1-1-1-2-1-2	1-1-0-2-0-1-2-0-2-1-2-2	2-2-1-0-2-0-2-3-2-2-2-2	2-3-2-1-2-2-0-1-2-0-2-5	0-4-4-3-3-0-2-2-0-2-3-2	2-2-0-1-1-3-2-0-0-0-0-0	2-0-0-5-0-0-0-2-0-1-2-0	0-0-0-2-1-2-0-0-0-1-1-0	1-3-3-0-0-0-2-2-0-2-1-0	2-2-1-2-2-2-0-0-2-2-2-0	2-0-1-0-2-1-2-1-5-2-2-1	1-2-2-2-2-0-2-3-1-0-1-0
702	2	1-2-2-2-2-2-2-2-2-1-2-2	1-3-3-1-1-3-1-3-1-3-1-1	1-1-1-4-1-3-3-3-1-1-3-1	1-1-1-1-1-1-3-1-1-1-3-1	2-1-1-1-1-2-3-1-3-3-1-1	1-1-1-1-0-1-1-0-2-2-0-3	1-0-0-1-3-0-2-1-2-3-1-0	2-0-0-1-0-1-2-3-0-3-1-0	1-2-1-1-3-3-1-1-2-1-0-3	1-1-9-1-2-1-3-0-1-1-1-0	2-2-3-0-1-1-1-1-2-1-1-2	0-1-1-1-1-2-1-1-1-0-1-2
702	3	5-2-3-3-3-2-3-3-3-3-3-4	4-2-2-3-2-3-4-5-1-2-4-4	1-4-4-6-5-4-4-4-1-4-2-4	4-1-4-6-5-5-2-6-3-1-4-1	5-2-1-7-1-4-4-4-3-2-5-5	4-1-4-6-3-5-4-6-2-0-0-5	4-5-2-1-4-0-2-7-3-3-4-4	2-7-4-4-3-1-6-6-3-2-1-0	3-1-1-4-6-4-1-4-8-3-4-2	1-4-0-4-4-5-4-0-4-5-5-5	4-6-2-0-0-3-1-1-2-4-4-6	0-4-3-1-3-3-4-1-3-4-4-6
702	4	4-4-3-2-3-4-4-4-3-4-3-5	3-5-4-3-5-3-3-5-5-3-3-5	3-3-3-3-3-6-5-3-5-3-5-3	3-5-3-3-3-3-5-3-5-4-5-1	3-1-1-3-1-5-5-3-4-4-3-3	3-1-5-5-4-3-5-4-4-4-7-4	3-3-4-1-3-4-3-3-6-5-3-3	8-6-3-5-3-1-7-0-3-8-1-0	0-2-3-3-4-3-1-3-5-4-3-5	3-3-2-3-3-4-3-4-5-1-3-6	3-5-1-4-10-3-5-1-1-3-3-2	0-3-3-1-1-9-3-4-9-5-3-7
702	5	4-5-6-3-6-4-5-4-5-5-5-6	3-6-6-3-4-6-3-6-6-5-6-4	6-3-4-3-3-6-6-3-6-3-6-4	3-6-6-3-3-3-6-3-6-6-4-1	3-1-1-6-5-4-6-5-6-5-3-3	3-3-4-4-6-3-6-4-5-5-7-3	3-6-6-1-3-5-6-6-5-4-3-7	6-3-4-4-3-1-10-3-3-6-1-5	7-1-6-3-4-6-1-3-10-10-5-4	4-3-2-8-6-3-3-7-4-5-3-3	5-6-5-5-6-3-4-1-1-3-3-3	8-3-3-1-6-3-3-1-4-4-5-7
702	6	6-6-7-7-5-6-6-10-7-6-6-11	7-5-5-3-6-5-7-6-7-7-9-7	7-7-7-8-7-7-7-7-5-7-5-6	7-7-5-3-7-7-5-7-5-5-3-1	3-7-7-5-9-4-7-7-5-6-6-7	7-7-5-3-5-7-7-7-5-0-0-6	9-5-5-10-7-6-5-5-6-3-9-7	5-3-7-7-3-9-3-7-7-5-7-6	0-7-11-7-3-5-7-7-7-7-7-5	7-6-6-11-5-7-7-5-7-9-10-6	7-5-2-5-5-6-6-10-7-4-7-3	7-7-6-9-7-6-6-6-6-7-7-3
702	7	7-7-6-6-7-7-6-7-6-6-6-6	6-8-7-6-9-5-6-6-6-7-6-6	6-6-6-3-3-6-6-9-9-8-8-8	6-6-6-7-6-6-10-6-8-5-8-1	3-6-6-5-6-7-6-6-8-8-3-6	6-6-5-5-5-6-6-6-7-7-4-7	6-7-8-1-6-6-8-6-7-8-5-6	7-3-6-6-3-6-5-6-6-7-6-8	8-6-6-6-4-10-6-6-9-6-6-7	6-8-11-8-3-6-6-8-6-6-8-8	6-11-8-5-8-8-6-8-6-3-8-7	6-6-6-6-7-8-8-6-3-6-8-8
702	8	9-8-9-8-9-9-11-8-9-9-9-9	9-7-7-9-10-9-9-8-9-9-9-9	8-9-10-9-9-9-9-9-9-9-9-9	9-6-6-9-10-10-9-9-7-8-10-6	10-6-6-10-9-7-9-9-7-7-10-10	8-9-9-11-8-9-9-8-5-8-4-9	10-9-7-4-9-8-7-9-8-11-10-9	7-9-7-9-10-11-11-10-11-5-9-8	7-1-6-9-10-9-4-9-7-9-9-5	6-9-8-7-9-11-9-7-9-6-9-10	7-9-7-5-7-9-9-7-10-9-7-8	7-9-9-9-9-8-7-6-8-9-7-7
702	9	8-8-8-8-8-8-8-8-8-8-8-8	8-7-8-8-7-8-8-8-8-8-8-8	8-8-8-8-8-8-10-10-8-8-10-8	8-9-6-8-8-8-10-8-10-10-9-1	8-6-6-8-6-10-10-8-9-9-8-8	8-8-8-7-9-6-8-4-10-9-4-8	6-8-10-1-8-9-10-8-9-9-8-8	9-8-6-8-8-6-5-8-6-9-8-9	8-1-7-8-6-8-6-8-9-8-8-5	6-8-9-10-8-8-8-5-8-6-8-8	6-10-8-10-10-8-6-10-6-8-9-9	6-8-8-6-11-4-8-6-10-10-10-10
702	10	8-11-8-8-8-11-8-8-8-8-8-8	8-9-8-8-8-8-8-9-8-8-11-8	8-8-8-8-8-10-9-9-8-8-9-8	8-10-10-8-8-8-11-8-9-9-9-1	8-6-6-8-10-9-9-8-10-10-8-8	8-9-8-11-10-6-9-8-9-9-0-8	8-7-9-6-9-10-9-9-10-9-8-8	10-8-8-8-8-10-5-8-6-5-9-10	10-10-11-8-8-8-10-8-5-5-8-5	6-10-10-9-9-6-7-4-11-6-10-10	9-10-9-9-9-10-10-10-8-10-10-10	6-8-6-10-9-10-7-6-11-9-9-9
702	11	11-8-8-8-11-10-8-11-8-8-8-8	8-11-11-8-11-11-10-8-8-11-10-8	11-10-11-8-11-11-10-9-10-11-11-11	10-11-8-11-11-11-10-11-9-11-11-1	8-6-11-11-11-9-10-11-9-11-8-11	11-11-11-8-11-11-11-11-11-11-11-11	6-11-11-10-10-10-9-8-11-11-6-8	11-9-3-10-11-8-8-8-8-11-6-9	8-11-10-10-8-11-11-8-11-8-8-0	10-11-11-11-11-8-11-11-10-11-11-11	11-11-2-5-10-10-10-7-11-10-11-11	6-8-10-11-9-11-11-6-11-11-8-11
703	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
703	1	1-1-1-1-1-1-1-1-1-1-1-1	1-2-1-2-2-2-2-1-2-1-2-2	1-2-2-2-2-2-1-2-2-2-2-1	2-1-2-1-1-0-1-2-1-2-1-1	2-1-1-2-1-1-1-1-1-2-5-1	1-2-2-1-2-2-1-2-1-1-1-2	1-1-1-1-2-1-1-1-1-1-1-1	1-1-1-1-1-4-1-1-1-1-0-1	1-1-2-0-2-5-1-2-3-2-1-2	2-1-2-2-2-1-2-1-0-1-2-1	1-5-3-1-1-2-1-1-2-1-2-1	2-1-1-1-1-5-1-2-1-1-1-1
703	2	3-2-3-2-1-1-1-2-1-3-1-2	3-1-1-3-1-1-3-2-1-1-3-1	2-3-3-1-4-1-3-3-1-3-1-2	3-3-1-2-3-3-1-8-1-1-3-2	4-1-4-2-3-2-3-3-1-1-1-4	4-4-3-3-1-3-3-5-1-2-0-3	3-5-1-1-3-1-3-3-1-1-5-3	1-5-5-3-5-1-1-3-5-1-5-2	6-0-1-5-5-2-1-3-1-4-5-1	3-5-1-1-3-5-3-1-3-1-1-5	1-1-1-1-3-1-1-1-1-3-1-2	1-4-4-2-1-1-3-1-6-3-6-2
