0	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
818	3	3-3-2-3-5-2-3-3-3-3-3-3	3-4-4-1-2-2-1-2-5-2-2-2	2-3-1-1-1-6-4-2-4-5-4-4	1-4-4-1-1-1-4-1-4-3-4-0	1-2-5-4-1-2-4-3-2-1-5-1	4-4-4-2-3-1-4-1-3-3-4-1	4-1-3-3-4-3-4-4-3-2-4-4	3-3-1-2-3-3-5-4-1-3-4-3	4-0-4-2-3-5-6-4-6-3-2-5	4-2-3-4-4-4-4-4-2-3-2-2	2-2-7-3-7-6-2-2-4-2-4-2	6-2-1-2-6-1-1-2-4-2-2-3
818	4	5-4-4-4-3-4-4-6-4-4-5-6	4-3-3-1-1-5-5-5-5-4-6-5	5-5-6-1-1-7-5-5-3-1-3-3	5-3-5-6-1-5-3-5-3-4-3-4	1-7-4-3-5-2-5-4-4-4-5-5	3-3-3-6-4-1-3-1-2-3-3-5	2-1-3-6-3-4-3-3-3-1-2-3	4-3-5-2-1-5-3-1-4-4-4-7	2-0-3-1-1-3-4-7-4-4-1-3	7-1-5-3-3-3-4-3-5-4-4-1	2-1-4-3-3-5-2-4-6-2-3-1	4-1-4-5-5-4-1-4-4-2-3-1
818	5	4-5-5-5-3-2-7-6-4-4-5-5	4-3-2-6-6-4-6-7-6-4-6-6	4-6-4-6-6-6-6-4-3-6-6-6	4-4-4-5-6-6-6-4-6-4-6-4	6-2-4-6-4-5-6-5-5-5-4-4	7-6-6-5-4-1-6-5-2-5-2-4	5-6-3-4-4-5-5-6-5-5-2-5	2-6-6-6-6-4-7-6-7-4-6-0	0-0-6-5-6-3-4-6-4-3-6-3	4-6-4-3-6-7-6-3-4-4-4-6	2-1-0-3-7-4-0-2-4-5-5-6	3-6-4-4-4-6-6-4-2-5-2-2
818	6	5-7-5-7-6-7-7-7-7-6-5-7	5-3-3-5-6-6-5-5-7-5-5-5	7-5-4-5-5-5-5-7-4-5-6-5	7-6-4-4-5-5-7-4-5-4-5-4	5-4-4-5-6-5-7-5-6-5-4-5	5-5-5-7-3-4-5-3-6-6-3-7	7-5-3-4-6-6-3-5-6-6-1-5	6-5-5-5-5-4-3-5-5-6-5-0	6-6-5-5-5-5-3-5-3-3-5-1	4-5-2-6-5-7-5-3-7-3-4-5	2-6-7-3-2-3-6-4-4-5-5-5	3-7-7-4-3-5-5-4-2-5-5-5
818	7	7-6-5-6-7-6-6-7-6-6-5-6	6-7-7-5-7-7-5-5-6-7-5-6	7-7-7-6-7-7-7-6-7-7-6-7	6-7-7-7-7-7-6-7-5-7-7-6	5-4-7-7-6-7-6-7-7-7-5-7	5-7-7-7-7-7-7-7-7-7-7-6	6-7-7-7-6-7-7-7-7-5-7-7	7-7-5-6-7-7-5-5-5-4-5-7	6-7-7-5-5-7-7-4-3-3-5-7	4-7-7-7-7-5-7-3-6-7-3-7	2-5-3-3-3-4-6-3-7-7-7-7	3-6-4-4-2-7-7-4-7-7-5-7
819	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
819	1	1-1-1-1-1-1-1-1-1-1-1-2	2-2-2-0-0-2-3-1-1-2-0-2	1-0-0-1-1-1-2-1-0-2-2-2	0-0-2-0-0-0-0-1-2-2-2-0	0-2-1-0-1-2-2-0-1-0-2-0	4-8-0-0-0-0-2-0-1-1-4-1	2-2-2-0-2-0-2-2-1-2-2-1	1-1-1-1-1-4-1-0-1-1-0-0	1-0-2-0-1-6-4-0-2-1-1-1	0-1-1-2-2-0-1-1-2-0-0-1	4-4-8-1-1-1-0-1-0-1-1-1	2-1-1-1-1-1-2-0-1-0-1-1
819	2	2-1-2-1-1-1-1-1-1-1-1-1	1-1-1-3-4-1-3-2-3-1-3-3	3-2-4-4-5-0-3-3-1-1-1-3	3-0-3-2-4-3-1-5-1-1-3-2	5-1-3-2-0-1-3-3-1-2-1-3	3-3-3-2-2-3-3-4-1-1-1-3	1-1-1-0-3-0-1-3-2-1-3-3	1-3-2-3-2-3-1-8-2-1-2-0	2-0-3-3-8-2-1-3-1-2-5-2	2-2-1-1-3-2-3-1-3-1-0-2	1-2-1-1-1-4-0-2-1-2-3-1	1-2-2-3-1-2-3-0-2-0-2-1
819	3	2-4-1-1-3-1-3-3-1-3-3-4	2-4-4-2-2-3-2-4-4-1-2-2	2-2-2-2-2-3-4-2-4-4-4-2	2-3-4-2-2-2-4-2-4-1-4-2	2-0-2-2-2-3-4-2-4-3-1-2	2-2-4-0-3-2-2-7-3-3-6-2	2-4-3-4-2-3-4-2-3-3-2-2	3-4-2-2-2-2-6-2-2-5-2-0	3-0-2-2-3-2-3-2-6-2-2-5	0-2-3-7-4-0-2-7-2-4-4-2	3-2-0-6-3-0-0-3-7-2-2-3	7-2-2-2-3-5-2-3-3-0-3-1
819	4	5-3-5-6-1-3-4-3-4-4-5-8	4-3-3-4-5-1-5-4-5-1-5-6	5-5-6-2-2-5-5-6-3-3-3-4	5-5-3-2-2-5-3-2-3-1-3-7	2-7-2-4-5-3-5-5-3-4-7-6	5-2-3-5-3-6-3-2-1-3-1-5	8-2-3-3-5-5-3-5-3-1-6-2	4-3-6-2-2-5-3-2-5-4-6-5	6-5-5-3-2-5-6-5-7-4-2-2	5-6-1-3-3-2-3-3-5-3-6-2	6-1-5-2-1-6-6-6-6-5-1-4	3-2-4-3-6-1-3-7-5-6-1-1
819	5	4-5-4-8-5-5-5-5-4-5-4-4	4-7-6-4-4-5-4-7-4-5-4-4	4-4-4-4-2-4-6-7-6-6-6-6	4-4-6-7-2-4-4-2-6-7-5-4	2-4-5-3-4-6-6-4-6-5-6-2	6-2-3-4-3-4-6-2-5-5-3-5	7-5-3-5-4-4-3-4-5-6-4-2	5-3-2-3-2-4-3-2-4-3-4-4	3-4-4-4-1-2-3-4-6-4-2-3	4-2-5-6-2-2-3-5-4-4-4-2	4-6-4-3-5-4-4-4-4-4-6-5	3-2-4-3-4-3-3-4-4-4-5-5
819	6	6-6-7-6-6-6-6-6-6-6-6-7	4-5-5-6-6-7-6-7-7-1-7-4	4-7-4-7-7-4-5-4-5-7-5-5	7-4-8-6-7-7-4-7-7-1-7-4	7-4-5-7-4-7-7-7-5-6-7-7	5-6-7-6-4-4-5-7-5-3-3-6	5-5-3-7-4-6-3-8-5-5-7-6	5-7-4-6-6-4-3-7-6-4-4-4	4-4-4-6-6-1-4-7-5-6-7-3	4-4-6-5-7-6-3-3-6-6-4-2	4-6-4-3-1-4-4-4-4-6-5-6	3-6-6-7-4-0-6-4-7-4-7-1
819	7	6-5-6-6-7-6-8-6-6-6-6-8	8-5-5-6-6-8-6-6-6-7-6-8	4-6-6-6-6-7-6-5-8-7-7-6	6-7-7-6-6-6-8-6-6-1-6-4	6-4-5-6-7-6-6-6-7-7-6-6	8-1-6-8-7-8-6-3-7-5-3-7	8-1-3-6-7-7-8-8-7-5-6-6	5-6-7-6-7-7-3-6-6-4-6-7	7-4-4-7-7-2-3-7-4-6-6-3	8-7-7-3-6-8-8-3-8-6-4-7	4-7-7-3-1-8-4-4-3-7-7-7	3-8-6-6-4-7-7-4-6-4-6-1
819	8	8-5-6-5-8-8-7-8-7-4-6-7	7-5-8-6-8-8-6-8-8-8-7-7	8-8-8-7-8-8-7-7-7-8-8-8	6-8-6-8-8-8-7-8-7-1-8-4	8-4-8-8-8-8-7-8-8-8-6-8	7-1-8-7-8-7-8-8-8-8-8-8	7-8-8-8-7-8-8-8-8-8-4-8	8-8-8-7-8-7-6-2-6-4-7-8	4-8-8-7-2-8-3-7-8-8-6-2	7-4-8-8-8-7-8-3-7-8-8-8	4-7-1-5-1-7-4-4-4-7-8-8	8-7-8-1-1-8-8-4-8-8-7-1
820	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
820	1	1-1-1-1-1-1-1-1-1-1-1-1	2-0-0-1-0-0-2-2-0-1-0-0	0-1-0-1-2-2-2-0-0-3-2-2	2-0-2-2-2-2-0-1-1-0-1-0	1-0-1-2-2-1-2-2-1-1-2-1	3-3-2-1-1-3-2-2-1-1-3-1	3-3-1-0-2-0-1-2-1-1-0-2	0-3-3-2-3-0-1-3-1-1-0-0	0-0-2-3-3-0-0-3-2-1-1-1	0-3-0-2-2-3-2-1-2-0-0-3	3-3-0-3-0-1-0-0-0-1-1-1	0-1-1-3-3-1-3-0-0-1-1-1
820	2	2-3-2-2-2-2-2-2-2-2-2-3	1-3-2-1-2-3-1-3-2-1-3-2	2-0-0-2-1-3-3-2-3-1-3-1	1-1-3-1-1-1-2-1-3-3-3-0	1-0-3-1-3-3-3-1-3-2-1-1	1-5-1-1-2-1-3-1-2-2-6-1	6-1-2-0-1-2-3-1-2-2-0-1	2-2-0-1-1-3-3-2-2-4-0-1	0-0-1-1-2-2-3-1-3-2-1-2	0-1-2-3-1-1-1-2-1-3-0-1	0-2-0-5-0-0-4-0-0-1-1-2	0-1-0-1-0-1-1-0-0-1-5-1
820	3	3-2-3-4-3-3-3-3-3-3-3-4	3-2-2-1-2-2-4-4-3-3-4-4	5-4-6-4-3-2-2-4-2-1-2-3	4-3-4-1-1-1-5-1-2-2-2-0	1-7-2-3-5-2-2-3-2-3-1-0	1-1-2-0-3-7-2-1-2-2-1-1	1-1-2-5-3-3-2-4-3-1-5-2	2-1-5-1-1-2-2-1-1-3-3-6	5-3-5-1-1-3-5-5-2-3-1-3	5-5-2-2-5-1-0-2-5-2-5-1	5-1-3-1-7-5-5-5-5-1-1-3	4-1-3-1-5-5-1-5-7-6-2-1
820	4	4-5-6-5-4-5-5-6-5-5-5-6	5-5-4-1-6-6-3-5-5-5-5-5	4-3-4-5-5-5-5-5-5-5-5-5	5-4-5-5-4-4-5-6-4-5-4-4	6-4-4-6-4-4-5-4-5-4-6-4	5-5-5-4-6-5-4-5-6-4-2-5	5-5-4-4-3-4-5-5-4-6-4-5	5-4-4-4-4-5-5-5-4-6-5-4	4-3-7-4-5-4-6-4-6-5-4-4	4-4-4-5-5-6-5-5-6-6-7-4	3-7-3-4-5-6-2-4-7-4-5-5	6-7-4-4-6-4-5-6-4-3-6-7
820	5	4-4-4-7-4-4-4-4-4-4-4-4	4-4-4-5-4-4-4-6-4-4-6-4	3-6-3-7-6-4-6-4-4-4-4-4	6-3-4-4-6-6-4-6-6-4-6-4	6-4-4-6-3-6-6-6-4-4-4-6	4-2-6-5-3-4-6-4-4-5-2-4	4-4-4-3-3-5-4-4-4-5-6-4	4-6-3-6-6-4-4-4-6-3-6-3	3-3-3-6-4-3-3-3-4-4-6-4	3-6-4-4-6-4-4-4-3-3-6-6	3-5-4-2-4-4-3-3-3-6-4-6	4-6-5-4-3-3-6-3-3-3-2-1
820	6	4-7-4-4-4-7-4-4-4-4-4-4	4-4-4-5-4-4-5-5-4-4-5-7	3-5-3-4-5-4-5-4-4-5-6-5	5-6-6-4-5-5-7-4-5-4-5-7	5-3-7-5-6-5-7-5-6-6-4-5	4-4-5-5-4-4-5-4-4-6-2-6	7-4-4-3-3-6-6-5-6-4-5-4	6-5-1-5-5-4-4-5-5-4-5-3	3-6-4-5-6-4-4-3-4-4-5-3	4-5-6-4-5-4-4-4-7-4-5-5	5-6-3-6-6-4-3-3-3-5-4-5	4-5-6-6-5-4-5-3-0-3-4-1
820	7	7-6-5-5-7-6-4-7-4-4-4-5	4-7-7-5-7-4-5-7-7-7-5-6	7-7-7-5-7-4-7-4-4-7-6-7	5-7-7-7-7-7-6-7-7-7-7-6	4-3-7-7-7-7-6-7-7-7-4-5	7-7-7-6-7-3-6-7-7-7-7-6	6-7-7-7-7-7-7-7-7-7-7-4	7-7-5-6-7-4-7-1-5-3-4-4	6-6-4-7-5-7-7-3-7-7-5-7	5-3-7-4-7-4-4-4-6-7-6-7	3-4-3-2-4-4-3-3-4-4-7-7	4-4-6-4-3-7-7-3-7-7-5-4
821	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
821	1	1-1-1-1-1-1-1-1-1-0-1-1	0-2-1-0-0-0-0-2-0-1-0-2	1-0-0-1-2-0-2-0-0-2-2-0	0-0-0-0-0-0-0-0-2-1-0-0	0-0-0-0-0-1-2-0-2-0-1-0	0-0-0-0-0-0-2-0-1-1-0-0	0-1-2-0-0-0-0-5-1-1-0-0	1-0-0-0-1-0-1-0-0-1-0-0	0-0-1-0-0-0-0-0-1-1-0-0	0-0-3-2-0-0-0-2-0-0-0-0	0-3-0-0-0-0-0-0-0-0-0-1	2-1-0-2-0-1-0-0-0-0-2-1
821	2	2-2-1-1-1-1-2-1-2-2-2-2	3-1-1-3-0-2-3-1-3-1-3-3	0-3-0-3-3-3-3-3-0-3-1-3	3-0-3-5-4-4-3-4-3-1-1-0	3-1-3-3-0-3-3-3-1-5-2-0	4-0-0-2-2-4-3-2-1-1-0-6	3-4-1-0-3-3-3-3-0-2-0-3	0-4-4-3-3-2-4-5-2-1-0-0	0-0-3-3-5-2-0-3-2-3-5-2	0-5-1-1-3-2-3-1-3-3-0-5	0-2-2-0-2-4-0-0-0-3-3-1	1-3-2-1-0-2-3-0-2-3-3-2
821	3	4-3-3-3-3-3-3-3-3-2-2-3	2-4-3-2-0-2-2-4-2-3-2-2	4-2-0-2-2-2-4-2-4-2-4-4	2-3-2-2-2-2-4-2-4-4-4-0	2-0-2-3-3-2-4-2-4-3-0-0	0-5-4-3-3-2-4-3-3-3-8-3	3-2-9-0-2-2-7-2-1-4-0-2	4-5-4-4-2-4-5-5-2-7-0-0	3-0-4-2-0-3-3-2-3-2-2-2	0-2-1-4-4-2-3-3-4-2-0-2	5-4-4-3-9-2-4-0-5-2-2-4	6-2-1-3-0-2-2-3-7-6-5-7
821	4	3-4-4-4-5-4-4-4-4-3-4-4	2-7-5-2-5-2-2-5-2-5-2-5	3-4-5-2-2-2-5-6-3-2-5-3	2-0-5-2-2-2-4-2-5-6-3-0	4-0-0-5-4-4-5-4-5-2-6-0	5-5-3-3-4-2-5-4-4-4-5-2	5-2-4-8-5-3-5-5-4-3-5-2	4-4-2-3-4-3-8-5-2-4-5-5	4-0-3-2-4-5-8-3-8-4-3-4	0-3-4-5-3-2-5-5-3-4-5-2	8-4-3-9-5-2-3-6-0-2-3-3	4-2-2-4-6-2-2-0-4-5-3-7
821	5	5-5-5-5-4-4-4-5-6-5-5-5	5-4-4-2-4-5-7-4-4-4-6-6	6-5-6-6-2-6-4-6-6-2-4-5	6-6-5-2-2-2-6-5-4-5-4-7	4-7-9-4-6-3-4-5-4-5-5-5	4-6-3-3-5-2-4-2-3-3-4-6	4-5-4-6-4-3-4-4-5-2-4-4	4-3-7-3-4-7-3-2-2-5-5-9	4-8-7-2-2-4-5-5-4-5-2-7	5-5-5-9-4-2-4-4-6-6-4-7	3-2-5-5-4-8-6-5-3-5-6-5	5-2-5-6-4-5-4-5-5-3-3-5
821	6	8-9-7-9-8-7-8-7-7-7-7-7	7-4-4-7-7-8-9-7-7-8-8-7	8-6-8-7-7-7-7-8-7-7-7-7	7-5-5-7-7-6-7-7-7-7-7-5	7-5-8-4-5-6-7-6-7-8-7-7	7-7-7-8-5-7-6-7-4-6-6-6	6-6-6-5-6-6-6-7-7-7-6-6	6-7-5-6-6-5-9-7-2-5-6-6	4-6-9-7-8-8-4-6-6-8-6-8	6-6-6-7-8-6-7-6-5-5-6-5	6-8-7-6-7-5-5-4-6-6-7-6	5-6-5-5-8-8-8-5-6-7-6-9
821	7	6-6-6-9-6-6-6-6-6-6-6-6	6-4-4-6-6-6-9-6-6-6-6-6	5-8-6-6-6-6-6-6-6-6-6-6	8-5-5-6-8-8-6-6-6-6-6-5	6-5-9-6-5-6-8-8-6-6-8-8	6-6-6-7-5-6-8-8-2-6-3-8	6-6-6-5-6-7-6-6-6-6-8-7	6-8-5-8-8-5-3-8-2-3-8-0	6-5-5-6-6-6-5-8-5-7-8-5	9-8-5-6-8-6-6-4-5-5-0-5	0-6-6-8-6-5-5-0-0-6-6-6	5-6-5-6-0-6-6-0-3-6-8-3
821	8	6-9-6-7-6-6-6-6-6-6-6-9	6-4-4-6-6-6-7-6-9-6-6-6	6-7-6-6-7-8-7-6-6-6-6-6	7-8-8-6-7-7-9-7-6-6-7-5	7-5-6-6-8-7-7-7-8-6-7-7	6-9-7-6-5-9-7-7-8-4-3-7	9-6-4-5-8-8-6-6-8-6-7-8	8-7-5-7-7-8-4-7-8-5-6-8	8-5-6-9-6-6-4-8-4-6-7-6	8-6-8-6-7-6-6-4-8-5-8-7	4-6-6-7-6-5-5-8-6-8-6-8	5-8-5-8-8-6-6-5-7-6-7-3
821	9	9-6-6-7-9-9-6-9-6-6-6-8	6-9-9-6-9-9-7-6-8-9-6-6	9-9-9-6-9-6-8-8-8-9-9-9	9-9-6-9-9-9-8-9-6-9-9-6	6-5-9-9-9-9-8-9-9-9-6-7	8-9-7-8-9-8-9-9-9-9-9-9	6-9-9-9-8-9-9-9-9-9-7-6	9-9-6-8-9-8-6-7-8-5-6-6	8-9-6-8-6-9-9-8-4-3-7-3	7-9-9-5-9-6-9-8-9-9-6-9	4-6-9-4-4-5-6-5-9-8-9-8	9-8-5-6-6-9-9-9-9-9-8-6
822	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
822	1	1-1-2-2-1-1-1-1-1-1-1-1	2-2-1-2-2-2-2-2-2-2-2-2	1-2-2-2-2-2-2-2-4-2-3-2	2-0-2-2-1-0-2-2-2-2-1-2	4-1-1-2-4-1-2-1-1-1-4-2	4-2-2-2-2-2-1-2-1-1-4-2	1-2-1-1-2-1-2-2-1-1-1-1	1-1-4-1-1-3-1-2-1-1-2-3	1-0-3-1-2-3-2-2-2-1-1-2	1-1-2-2-1-1-1-1-2-2-0-1	4-2-4-0-2-2-0-1-0-1-2-1	3-2-2-1-1-1-1-0-0-1-1-1
822	2	1-1-1-1-1-1-1-1-1-1-1-1	1-1-1-3-1-1-1-1-1-1-3-1	1-3-1-1-1-1-1-1-1-1-1-1	3-0-1-1-4-3-1-4-1-1-1-1	1-1-1-1-0-3-3-3-1-1-1-1	1-1-1-1-1-1-3-1-1-1-0-1	4-1-1-0-3-2-1-3-1-1-0-3	1-4-4-3-3-1-7-4-3-1-3-1	0-0-1-3-4-1-1-3-1-1-3-1	4-0-1-1-3-4-1-1-3-1-0-4	0-4-1-0-1-1-0-0-0-3-1-2	1-4-1-1-1-2-3-0-0-0-3-4
822	3	1-4-1-1-1-3-1-1-1-1-1-1	2-4-3-2-1-1-2-1-2-1-2-2	1-2-1-1-2-4-4-7-1-2-4-2	2-3-4-3-2-2-5-1-4-5-3-0	1-0-3-1-3-2-4-2-3-1-1-1	1-1-4-2-3-1-4-3-3-3-6-3	5-1-3-0-2-3-4-2-1-5-0-2	1-2-0-2-2-1-5-1-2-3-2-1	0-0-1-2-3-1-7-2-1-3-2-1	2-0-1-4-2-2-1-4-2-1-0-2	0-1-1-3-1-1-0-0-0-2-1-1	1-2-1-4-1-2-2-0-0-3-2-3
822	4	6-3-4-4-1-1-4-4-1-1-4-7	4-3-3-5-1-1-4-5-5-6-5-5	6-5-5-5-4-6-3-5-1-3-3-4	5-5-3-4-2-5-6-2-3-3-4-5	1-5-1-4-5-3-5-4-4-1-1-6	1-1-3-0-5-7-3-1-1-1-1-3	2-1-3-7-5-5-3-4-4-1-5-1	1-2-5-3-2-5-3-2-2-4-5-5	4-4-4-2-2-5-5-2-1-4-2-5	5-5-1-3-2-2-1-3-5-5-4-2	5-2-1-3-4-5-4-5-5-2-1-4	1-2-4-5-4-1-2-6-7-6-1-2
822	5	5-4-7-7-1-3-5-5-1-5-5-6	6-3-3-7-5-1-7-6-4-4-7-4	4-4-4-6-6-7-6-6-7-6-6-6	6-4-3-6-6-6-3-1-6-3-6-4	6-4-7-6-4-6-6-6-5-5-1-6	6-4-6-5-4-1-6-6-1-5-0-3	3-1-1-0-4-5-5-6-1-3-6-6	1-6-4-6-6-4-3-6-5-4-4-4	7-7-6-6-5-4-4-6-4-5-6-4	4-4-5-1-6-3-6-1-4-4-6-6	4-5-4-1-4-4-4-4-4-6-1-5	1-6-6-6-6-4-6-4-6-4-6-3
822	6	4-7-1-5-1-7-7-7-7-5-6-7	5-3-3-5-6-1-5-5-7-4-5-4	4-5-4-5-5-4-5-5-5-5-6-5	5-6-4-5-5-5-7-2-5-5-5-7	5-4-5-5-6-5-5-5-6-6-1-5	5-7-5-5-4-4-5-5-6-6-3-6	7-1-1-6-5-6-6-5-6-1-5-5	6-5-4-5-5-6-3-5-2-4-2-4	6-6-5-5-5-4-0-5-1-6-5-4	5-5-6-1-5-2-5-1-7-1-6-5	4-6-4-7-3-4-4-4-4-5-1-5	1-5-5-6-5-1-5-4-5-4-5-1
822	7	7-6-5-5-7-6-6-7-6-5-7-6	5-7-7-5-7-7-5-7-7-7-5-4	7-7-7-7-7-5-7-6-5-7-6-7	6-7-7-7-7-7-6-7-7-7-5-6	5-4-7-7-7-7-6-7-7-7-6-7	7-6-5-6-7-4-7-7-7-7-7-7	6-7-7-7-5-7-7-7-7-7-4-5	7-7-7-5-7-7-2-2-5-4-6-4	5-5-7-7-5-7-7-5-7-7-5-1	2-4-7-7-7-5-7-7-6-7-4-7	4-1-1-6-1-1-4-4-4-5-7-7	7-1-6-1-4-7-7-4-7-7-4-1
823	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
823	1	1-1-1-1-1-1-1-1-1-1-1-1	1-0-0-1-0-1-1-0-0-1-0-0	4-2-0-0-0-1-0-1-0-0-0-0	1-0-0-0-1-1-0-0-0-0-1-0	0-1-1-0-10-0-0-1-0-1-0-0	0-2-0-0-0-2-1-1-0-0-0-1	1-0-0-0-0-1-0-0-0-1-0-0	1-0-0-2-1-1-0-0-1-1-1-0	1-1-0-2-0-10-1-0-1-1-1-0	1-1-0-3-0-0-0-0-1-1-0-0	0-0-2-0-0-1-1-1-0-0-3-1	1-0-1-1-0-1-1-1-1-0-1-0
823	2	2-2-2-2-2-2-2-2-2-2-2-2	3-3-2-3-3-3-3-2-3-3-3-3	2-3-2-4-3-3-2-3-3-3-3-2	3-3-3-2-3-3-3-2-3-3-2-2	2-3-2-6-2-2-2-2-3-2-4-2	2-1-3-6-3-3-3-3-3-2-6-3	2-2-2-2-2-2-3-2-3-4-2-3	2-2-3-1-2-1-3-0-2-3-3-5	2-3-2-2-3-2-2-3-5-2-2-2	2-2-2-2-3-2-2-2-1-5-2-2	2-2-4-2-5-3-2-3-2-2-3-2	2-1-2-2-4-6-2-2-2-4-6-4
823	3	3-3-2-7-2-2-2-3-4-4-2-3	4-2-2-4-2-2-4-3-2-4-4-2	3-4-4-6-6-2-4-2-2-4-2-3	4-2-2-4-4-5-4-4-2-2-4-2	5-2-6-4-5-3-4-4-2-2-11-5	4-4-4-5-2-5-4-4-2-3-0-4	4-6-2-2-4-3-2-4-2-3-4-2	2-5-4-4-4-1-2-6-4-4-2-2	4-2-4-4-6-3-2-4-2-4-6-6	2-6-2-1-4-6-4-2-4-2-2-6	4-6-2-2-2-2-2-2-2-4-4-4	2-4-6-5-2-2-4-2-8-5-8-6
823	4	3-5-3-2-4-2-3-2-3-3-3-2	3-4-4-3-2-2-3-5-3-3-3-3	1-3-3-2-3-3-5-3-5-6-5-4	3-4-5-3-3-3-3-3-5-0-5-2	3-2-3-3-3-5-5-3-4-2-2-3	3-3-3-3-4-3-5-3-4-4-4-3	3-3-4-0-3-4-4-3-0-5-3-3	5-3-3-5-3-1-4-3-3-5-3-2	3-2-5-3-4-0-2-3-2-3-3-5	2-3-4-6-3-3-3-3-5-6-5-3	5-2-5-9-11-2-3-5-3-3-3-5	5-3-3-4-2-5-3-5-8-2-4-2
823	5	3-5-3-5-5-2-3-2-2-3-3-3	3-6-6-3-2-2-3-4-2-3-3-3	1-5-3-2-3-2-6-3-4-3-6-5	3-2-6-3-3-3-2-3-4-6-4-2	3-2-3-6-3-4-6-5-6-2-2-3	3-3-4-3-4-3-6-2-4-5-8-3	3-3-5-7-6-5-5-6-5-4-3-2	4-3-3-4-3-1-6-3-3-5-2-2	5-2-4-3-4-1-5-3-10-3-4-4	2-3-2-6-6-5-6-6-4-2-4-3	4-7-4-4-2-5-1-4-2-3-3-5	4-3-3-4-5-4-3-4-8-4-4-5
