0	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
973	3	3-3-4-3-4-4-3-3-3-3-3-3	1-5-3-1-2-2-0-4-2-3-1-4	2-3-5-1-1-1-4-5-2-5-4-4	1-4-4-1-1-1-2-1-4-4-2-0	1-0-1-3-1-2-4-3-4-0-1-1	1-1-2-0-3-1-4-1-3-3-5-1	2-1-3-3-4-2-4-4-3-2-1-3	3-1-1-2-3-4-1-4-3-3-3-0	3-0-4-4-3-1-4-2-7-3-1-2	0-1-3-4-4-1-4-3-2-3-4-1	2-5-7-5-0-0-0-6-0-2-1-2	5-4-1-2-0-3-2-0-1-4-5-2
973	4	3-3-3-3-3-3-4-3-3-4-3-5	5-3-3-1-3-5-6-3-5-4-5-5	6-5-5-1-3-5-3-5-5-6-3-3	5-6-5-5-1-5-5-6-3-3-3-5	1-6-5-6-5-2-5-5-3-5-4-7	3-5-3-5-4-5-3-0-3-3-2-5	2-1-3-5-5-4-3-3-3-4-7-5	3-1-1-3-1-5-1-3-4-4-2-5	5-5-5-3-1-3-6-5-3-4-1-4	7-1-4-3-3-1-3-3-5-5-3-1	6-1-4-2-2-7-4-0-0-5-4-4	6-4-7-4-4-4-4-6-4-3-1-1
973	5	6-3-5-7-3-5-6-4-5-5-5-7	4-3-3-7-5-4-7-6-6-6-4-6	4-4-4-7-6-4-6-6-6-6-4-6	4-4-4-6-6-6-4-1-6-2-6-4	6-0-4-4-4-5-6-6-3-5-6-6	6-7-6-5-4-6-6-6-3-5-2-4	5-6-5-4-4-5-3-6-5-7-6-4	3-6-7-6-6-4-7-6-6-3-6-4	4-4-4-6-7-5-4-4-2-7-6-6	0-6-3-5-6-6-3-3-4-4-6-6	6-3-6-3-7-5-4-0-0-4-6-4	3-6-5-6-6-5-4-4-6-6-6-6
973	6	5-7-5-5-6-7-7-7-7-6-5-7	4-3-3-5-6-6-5-4-7-5-5-7	4-5-4-5-5-4-5-5-5-5-7-5	5-4-6-5-5-5-7-4-5-5-5-7	5-7-4-4-6-5-7-5-6-6-5-5	5-5-5-7-4-5-5-5-6-6-2-7	7-5-3-4-5-6-3-5-6-6-5-4	6-5-5-5-5-4-6-5-5-4-5-0	4-6-4-5-5-5-4-4-3-3-5-5	0-5-4-5-5-5-3-2-7-4-6-5	5-6-4-6-2-5-4-3-6-4-5-6	3-5-6-6-6-6-5-4-5-5-5-5
973	7	7-6-5-5-7-6-6-7-6-5-7-6	6-3-7-5-7-7-5-7-6-7-4-6	7-7-7-5-7-7-7-6-5-7-6-7	6-7-7-7-7-7-6-7-7-7-7-6	5-6-7-7-6-7-6-7-7-5-1-4	5-5-7-6-7-7-7-7-7-7-2-7	6-7-7-7-7-7-7-7-7-5-7-7	7-7-5-6-7-4-5-5-5-4-4-7	4-7-7-7-5-7-7-4-3-5-7-5	4-4-3-7-7-5-7-3-6-7-6-7	7-7-7-3-5-4-6-5-7-4-7-7	7-6-4-4-5-7-7-7-7-7-5-7
974	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
974	1	1-1-1-1-1-1-1-1-1-1-1-1	0-0-0-2-0-0-3-2-0-1-0-0	0-4-0-4-2-3-2-0-0-2-2-2	3-0-0-3-2-2-0-1-1-0-1-0	1-0-0-0-3-1-2-2-1-3-9-0	1-9-2-0-0-3-2-2-1-1-0-3	3-1-1-0-2-1-1-2-1-1-0-2	1-1-4-2-2-0-3-9-1-0-0-0	1-0-2-2-4-0-0-2-0-1-1-1	0-2-0-2-2-1-0-1-2-0-0-4	4-1-0-0-0-3-0-0-0-1-2-3	0-2-2-0-0-1-4-0-1-0-1-1
974	2	2-2-2-2-2-2-2-2-2-2-2-1	1-3-2-1-0-2-1-3-3-2-0-3	3-2-0-1-1-1-3-1-0-1-3-1	1-2-3-1-1-1-4-1-3-3-3-0	2-0-0-1-1-1-3-1-2-2-0-0	1-0-1-3-2-1-3-1-2-2-6-2	6-1-2-0-1-2-6-1-2-3-6-1	2-4-0-3-1-3-1-2-1-7-0-1	2-0-1-1-2-0-0-1-2-2-1-2	0-1-2-1-1-1-4-2-3-2-0-1	6-3-9-2-9-1-0-0-0-0-3-1	3-1-1-0-0-5-1-0-6-3-2-0
974	3	3-3-3-3-3-3-3-3-3-3-3-3	1-4-2-1-0-2-1-2-2-3-0-2	2-3-3-3-1-1-4-4-4-4-4-1	1-4-4-1-1-1-3-1-4-4-4-0	3-0-0-4-1-2-4-3-4-1-5-1	1-2-4-2-3-1-4-1-3-3-4-1	1-1-3-0-1-2-4-4-3-2-0-4	3-4-1-2-4-2-4-4-2-3-4-5	2-0-4-1-3-4-3-1-4-7-2-5	0-2-2-4-4-1-4-4-2-5-4-1	5-2-3-3-4-1-0-5-0-4-2-7	3-1-1-9-4-3-1-0-3-2-9-1
974	4	5-3-3-5-4-3-4-4-4-4-4-5	5-3-3-5-5-5-6-6-5-5-5-6	6-5-6-1-5-6-5-5-5-5-3-5	5-5-5-6-5-5-5-6-3-5-3-8	1-6-4-6-6-3-5-5-3-0-8-9	5-5-3-5-4-1-3-1-3-3-3-5	7-1-3-7-5-2-3-5-3-2-2-3	4-3-1-2-3-7-3-3-7-4-5-4	6-5-5-5-1-8-4-5-3-4-1-4	1-7-4-5-5-1-2-3-5-6-3-1	1-1-4-3-3-9-8-8-7-3-3-6	4-5-6-4-5-4-1-4-4-2-3-5
974	5	4-6-4-9-5-5-5-3-5-4-4-4	4-6-6-4-4-4-4-7-5-6-4-7	4-4-4-5-4-4-6-8-6-4-6-4	4-4-4-4-4-4-4-4-6-6-6-5	6-0-6-3-4-5-6-4-6-7-3-4	4-4-3-6-3-1-6-6-5-5-3-5	4-5-5-4-4-5-5-4-5-2-0-4	5-1-0-4-5-4-6-5-5-5-4-5	5-4-4-4-3-7-4-4-7-4-1-3	0-4-2-4-4-1-3-7-4-4-3-1	3-6-5-3-6-4-4-3-0-1-4-3	5-4-4-4-4-8-6-4-4-4-3-6
974	6	7-5-6-7-2-5-6-8-7-4-9-7	4-5-5-7-4-4-4-8-7-5-7-7	4-7-4-8-8-4-5-7-5-7-5-8	7-8-7-7-8-8-7-8-5-5-7-4	8-4-9-8-4-5-7-7-5-6-8-8	7-8-7-6-4-8-7-7-5-5-2-8	2-1-5-4-7-6-7-7-5-2-8-7	3-7-1-7-8-4-9-8-8-4-6-0	4-4-4-7-8-3-4-5-3-4-8-4	0-8-4-5-6-7-7-3-7-4-8-1	2-7-2-3-5-6-4-4-8-7-7-8	9-7-4-8-8-5-7-4-2-6-9-7
974	7	6-9-6-9-5-7-7-9-7-7-6-6	4-8-8-6-4-8-4-5-6-4-8-6	4-6-6-5-6-6-8-5-6-6-8-6	6-6-6-6-6-6-8-6-8-4-8-4	6-4-6-8-4-7-8-6-8-5-6-6	6-6-6-6-7-4-8-6-7-7-2-6	6-6-7-4-6-7-8-8-7-7-6-6	5-6-9-8-6-4-8-6-6-7-0-9	4-4-8-6-7-5-4-4-8-3-6-7	0-4-7-1-8-6-8-5-6-4-6-1	8-6-8-3-8-4-4-4-4-6-6-3	5-6-4-6-8-5-6-0-8-4-8-6
974	8	6-9-6-8-5-9-9-6-9-8-8-9	4-7-7-6-8-7-4-6-9-8-7-9	4-6-4-6-6-6-7-5-6-7-7-6	6-6-8-6-6-6-9-6-7-7-7-9	6-0-6-6-4-7-9-8-7-8-6-6	9-6-7-9-8-9-7-6-8-8-3-6	9-1-8-4-8-8-7-7-8-7-6-6	8-6-8-7-6-4-7-6-6-5-6-0	8-4-7-6-6-4-8-4-9-4-6-3	0-6-8-9-7-1-7-3-8-4-6-1	7-8-7-3-5-8-4-4-6-6-8-8	5-6-8-6-6-5-6-4-7-6-7-7
974	9	9-7-9-7-9-8-8-9-8-8-6-8	8-7-9-6-9-9-4-9-9-9-6-8	9-9-9-8-9-9-9-8-9-9-8-9	8-9-9-9-9-9-8-9-8-9-9-8	6-4-6-9-9-7-8-9-9-9-1-9	9-9-9-8-9-8-8-9-9-9-9-8	8-9-9-9-9-9-9-8-9-9-9-9	9-7-9-8-9-9-6-6-6-4-4-9	6-9-9-9-1-9-9-8-8-9-9-2	9-9-7-9-9-9-9-3-8-9-9-9	7-9-3-3-2-4-8-9-9-9-9-9	9-8-4-3-7-9-9-4-9-9-3-9
975	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
975	1	1-1-1-1-1-1-1-1-1-1-1-1	2-0-0-1-0-1-0-2-0-1-0-0	0-2-0-3-2-2-2-0-0-2-0-2	2-0-0-3-2-2-0-1-1-0-1-0	1-0-1-2-0-1-2-2-1-0-0-2	2-4-2-0-0-2-2-1-1-1-1-0	2-1-1-0-2-1-0-2-1-1-2-3	1-1-1-2-2-1-1-7-1-0-0-0	1-0-2-2-7-2-0-2-0-1-1-2	3-2-1-0-2-1-2-1-2-0-0-1	0-1-0-1-2-2-0-1-1-1-1-0	0-1-1-1-0-1-1-0-1-3-1-1
975	2	2-2-3-2-2-2-2-2-2-2-2-2	1-4-2-1-2-2-0-1-3-2-0-1	1-1-4-2-1-1-3-3-0-1-3-1	1-4-2-3-1-1-3-1-1-2-2-0	1-2-2-1-1-3-3-1-2-2-3-1	1-3-4-0-3-1-3-1-2-2-6-2	1-1-3-2-1-2-3-1-2-2-1-1	2-4-1-1-1-1-5-3-1-0-2-2	3-0-1-1-3-1-0-1-3-2-3-3	0-1-2-1-1-1-1-2-1-7-7-1	3-1-0-2-6-1-4-0-0-4-6-2	2-1-1-3-3-1-6-3-2-1-2-3
975	3	3-2-2-3-3-2-3-3-3-3-4-3	4-2-2-1-2-3-3-5-4-3-4-4	1-3-0-1-4-4-4-3-5-1-2-5	4-4-4-5-1-1-4-3-4-4-1-0	1-0-1-4-1-2-4-1-2-3-5-7	2-2-2-2-2-1-4-1-2-3-2-2	2-2-2-0-1-2-2-4-3-2-1-4	3-2-7-1-2-3-6-2-1-4-3-0	2-0-2-1-2-3-0-5-7-6-2-5	1-3-3-4-1-1-5-3-1-0-2-2	2-1-3-5-5-3-0-0-2-2-4-3	2-4-1-2-2-3-1-2-3-1-7-2
975	4	4-4-4-7-4-3-4-4-4-3-3-7	3-2-2-1-6-6-5-4-5-5-6-5	0-6-6-5-3-3-3-5-6-5-3-3	5-6-3-5-6-6-6-5-3-3-2-6	1-6-7-3-5-2-5-4-4-6-6-7	4-5-2-4-4-7-3-1-5-3-2-2	5-1-2-4-5-6-2-3-4-7-0-3	2-2-6-2-4-5-3-5-4-5-4-4	2-7-4-1-1-3-6-3-6-5-2-3	4-4-4-3-1-3-4-3-0-6-2-1	2-1-4-3-3-5-2-6-6-2-3-3	5-3-4-6-4-5-4-2-3-0-1-2
975	5	5-7-7-7-4-5-5-5-5-7-5-5	5-2-2-6-6-4-4-3-6-4-7-4	4-4-4-4-6-4-6-4-3-6-6-3	6-4-4-3-6-6-4-7-6-3-6-4	6-4-6-6-4-5-6-6-4-5-3-6	5-5-6-5-4-4-6-5-4-5-2-6	4-1-3-5-4-5-2-6-4-5-6-7	3-6-4-6-6-4-2-6-1-4-4-4	7-0-5-6-6-4-4-3-3-4-6-3	7-4-3-4-6-1-3-5-7-4-6-1	4-1-6-3-3-4-0-6-6-2-2-5	4-1-5-6-6-6-5-4-5-5-5-2
975	6	5-7-5-5-6-7-7-7-7-6-6-7	7-2-2-5-6-4-4-5-5-4-4-7	7-4-4-4-5-5-5-7-4-5-5-5	5-4-6-3-5-5-7-5-5-4-5-7	5-4-5-5-6-5-5-5-6-4-4-5	7-5-5-7-6-4-5-1-6-6-2-5	7-1-6-6-5-4-3-5-6-6-5-5	6-5-4-5-5-4-7-5-1-4-4-6	6-6-6-5-6-3-4-6-3-3-5-3	6-6-6-5-5-1-5-5-7-4-5-1	2-6-5-3-2-7-6-4-6-7-2-6	4-7-6-5-5-5-2-4-5-0-5-2
975	7	7-6-5-5-7-6-6-7-6-5-5-6	6-7-7-5-7-7-5-7-6-7-5-6	7-7-7-4-7-7-7-6-7-7-6-7	5-7-7-7-7-7-6-5-6-7-7-6	5-4-4-7-6-7-6-7-7-7-5-4	6-7-7-6-7-4-7-7-7-7-7-7	6-7-7-7-6-7-7-6-7-7-7-5	7-7-7-7-7-7-6-1-1-4-5-4	6-7-7-7-1-7-7-5-3-6-5-7	5-7-7-7-7-1-7-4-6-7-2-7	0-7-3-6-2-5-6-3-7-7-7-7	7-6-7-5-6-7-7-7-7-7-5-7
976	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
976	1	1-1-1-1-1-0-1-1-1-1-1-2	2-0-0-2-0-2-1-0-0-1-2-2	0-2-3-0-2-3-2-0-0-1-2-2	2-2-1-3-2-2-0-2-2-3-0-1	3-1-3-2-4-0-2-2-0-2-2-2	2-2-3-1-0-1-2-0-0-0-0-2	2-2-0-1-0-0-0-2-1-0-0-0	0-2-0-2-0-0-0-3-1-0-1-0	0-1-0-2-1-2-1-1-0-1-1-2	2-2-0-0-2-0-2-1-2-0-0-0	1-0-1-0-2-1-1-1-1-1-2-1	1-2-1-1-2-2-2-1-2-1-2-1
976	2	2-2-2-2-2-2-2-2-2-2-2-2	1-3-3-1-0-1-1-3-2-1-1-1	3-1-1-1-1-4-3-5-0-3-3-1	1-1-1-1-1-1-2-1-1-1-3-1	0-2-1-1-1-2-3-1-3-2-1-1	1-1-1-4-2-1-3-0-0-2-9-2	1-1-10-0-0-2-3-1-0-0-2-0	2-1-0-1-0-0-3-1-1-0-3-2	2-2-0-1-2-1-2-2-0-2-1-1	1-1-2-2-3-0-1-4-1-0-0-0	3-2-4-2-1-1-0-2-0-1-1-2	1-1-1-1-1-1-1-0-1-8-1-2
976	3	3-3-3-4-2-3-3-6-3-4-3-5	1-2-2-3-5-4-4-4-4-4-1-4	5-3-4-4-3-6-4-4-4-2-2-3	4-3-4-1-1-4-2-6-6-1-2-8	1-5-7-1-10-2-4-1-2-3-1-1	3-1-1-1-2-1-2-0-4-0-0-3	5-1-2-5-3-0-2-2-0-0-5-0	6-1-5-3-0-4-2-1-9-3-5-2	3-3-8-1-5-5-4-4-6-3-0-6	4-3-0-2-2-0-1-2-4-5-5-3	5-7-2-3-3-3-5-5-5-2-3-4	4-1-3-3-4-4-3-3-3-2-3-3
976	4	5-4-4-3-2-4-3-6-4-3-4-3	5-2-2-6-3-3-3-3-3-4-5-3	3-6-3-6-5-5-3-3-3-5-3-5	5-3-3-6-5-5-5-8-5-1-4-3	4-3-1-7-5-5-5-5-5-4-1-5	5-11-6-2-4-5-5-7-3-0-0-6	3-6-2-3-5-4-4-5-0-4-7-5	2-8-8-5-7-3-11-11-4-3-10-3	3-3-5-6-6-9-3-3-6-4-7-4	4-5-0-9-5-6-9-2-5-6-7-6	8-6-2-6-3-3-3-3-0-7-5-8	3-6-5-4-3-6-4-3-4-4-4-6
976	5	5-5-5-5-5-5-5-5-5-3-3-3	4-6-6-3-5-6-4-4-4-4-4-4	3-4-3-4-4-4-6-6-6-4-6-4	4-3-3-4-4-4-2-4-4-1-4-3	5-3-3-4-4-4-6-4-4-5-1-4	4-4-8-5-8-4-4-4-5-5-10-4	3-4-7-3-4-5-8-4-0-7-3-4	5-4-4-4-5-3-9-6-5-5-3-5	4-5-4-4-7-3-3-6-6-5-4-8	4-4-6-6-4-4-4-2-4-5-3-4	3-3-11-8-3-3-3-3-3-9-4-2	3-4-4-3-9-5-4-8-5-4-4-6
976	6	7-6-6-10-6-6-6-4-7-6-7-11	7-5-5-4-3-5-6-6-7-7-7-8	10-7-8-8-6-7-5-7-7-7-5-7	7-7-9-7-4-7-7-3-5-3-7-3	4-3-3-4-7-4-7-7-3-6-10-1	7-4-4-6-6-7-5-4-5-0-0-4	3-4-5-3-7-6-5-7-0-5-9-4	6-4-9-5-4-9-4-5-5-6-6-8	6-8-7-4-4-6-9-7-3-6-4-5	7-11-5-6-7-4-0-5-7-9-9-4	7-4-6-4-7-7-7-5-11-4-4-6	6-4-7-4-4-4-4-6-9-4-6-4
976	7	6-7-6-6-8-7-6-7-7-7-6-6	6-10-8-4-5-9-6-8-6-6-6-6	6-6-3-4-4-6-8-6-6-6-8-8	6-6-6-6-4-6-6-4-8-9-6-3	4-3-3-4-6-7-8-6-8-4-8-4	6-3-5-6-5-6-8-4-7-7-0-7	3-8-5-3-6-7-5-6-7-5-4-8	7-4-4-5-4-6-7-8-4-7-6-6	8-6-6-4-5-7-3-8-7-6-4-5	6-4-8-8-6-7-4-7-6-6-6-4	6-10-6-5-6-6-6-5-3-4-8-6	7-7-6-7-6-7-8-6-6-7-7-4
976	8	9-8-6-9-7-7-6-10-8-6-8-6	6-7-7-9-5-9-6-7-9-10-9-6	3-10-6-6-9-9-7-6-6-6-7-9	9-6-11-6-9-10-7-4-7-1-8-3	9-3-9-4-6-7-9-9-7-8-7-4	9-9-9-11-5-6-7-9-7-0-0-9	9-7-7-3-9-8-5-7-10-5-10-8	0-9-4-9-9-6-11-9-8-7-8-6	7-6-10-9-10-8-6-7-5-9-9-5	8-8-7-7-7-9-9-8-9-6-7-4	4-7-6-5-11-7-6-4-8-8-7-4	5-9-9-9-8-1-7-7-4-9-4-9
976	9	8-10-6-11-7-9-9-11-9-8-9-6	6-7-7-8-10-7-6-10-8-9-8-6	6-8-8-4-8-8-10-7-10-8-10-8	8-6-10-6-8-8-10-4-10-10-8-3	8-3-3-4-8-10-10-8-9-9-1-4	8-8-8-10-5-6-8-8-7-9-2-8	8-7-10-3-8-11-10-8-9-9-6-8	5-8-6-8-8-6-5-8-3-6-6-6	9-6-8-8-9-7-6-7-10-8-8-5	6-8-11-10-10-9-4-2-8-6-6-4	6-4-11-5-10-6-6-3-3-8-8-9	9-8-8-8-5-6-4-6-6-8-10-8
976	10	11-11-6-10-9-11-11-11-11-10-8-6	6-7-7-8-9-11-6-9-11-8-11-9	6-8-8-8-8-10-9-7-11-10-9-8	8-6-9-9-8-8-11-4-9-9-9-6	8-6-3-1-3-9-9-8-9-10-6-10	11-8-10-9-10-6-9-8-10-9-5-10	8-7-9-3-11-10-9-11-10-7-8-8	10-9-4-8-4-11-5-8-11-7-4-6	10-10-8-8-8-7-10-6-9-7-8-0	11-8-10-9-9-4-4-2-11-6-10-4	7-7-6-5-9-11-6-3-10-10-10-10	11-8-10-8-10-10-4-6-4-9-9-9
976	11	11-10-6-9-11-10-10-11-10-10-11-6	6-7-11-6-11-11-10-11-11-11-10-11	11-11-11-11-11-11-10-9-10-11-5-11	10-11-11-11-11-11-10-11-9-11-11-6	4-6-11-11-11-9-10-11-11-11-4-11	10-11-11-8-11-6-11-11-11-11-11-11	8-11-11-11-10-11-11-11-11-11-6-8	11-9-11-10-11-10-8-4-10-7-7-9	10-10-8-10-4-11-11-8-11-11-8-11	10-6-11-11-11-4-11-11-10-11-9-11	11-7-5-5-4-10-6-6-6-10-11-11	11-8-10-0-10-11-11-6-11-11-10-11
977	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
977	1	1-1-1-3-1-1-1-1-1-2-2-2	3-2-1-0-2-2-3-2-2-2-2-2	1-2-3-2-2-3-2-2-2-1-2-2	2-1-2-3-1-0-2-1-2-2-2-1	2-1-1-2-4-1-2-1-2-2-3-1	4-2-2-2-2-2-2-2-3-1-4-2	1-1-1-1-2-1-2-2-1-1-1-2	1-1-2-1-1-2-2-1-1-1-0-1	1-0-7-0-2-1-4-1-2-1-1-2	3-1-1-2-1-1-2-1-1-1-0-1	4-0-4-3-3-2-1-1-4-1-2-2	2-1-1-1-1-1-1-2-1-1-1-2
977	2	1-1-2-2-1-1-1-1-1-1-1-1	1-1-1-2-1-1-1-1-1-1-3-1	3-3-4-1-3-1-3-1-1-1-1-1	3-0-1-1-3-3-1-2-1-1-3-4	1-0-3-1-1-1-3-3-1-1-1-3	3-4-3-1-1-1-3-1-1-1-0-4	1-4-1-2-3-2-1-3-2-1-3-3	1-2-1-3-3-1-1-4-2-0-0-0	2-0-3-3-4-3-1-4-1-2-2-1	2-4-1-1-3-2-3-1-3-1-0-2	1-2-1-1-1-1-0-0-1-2-3-1	1-2-2-1-1-1-3-1-2-2-2-1
977	3	1-4-1-1-3-3-1-3-1-1-1-4	1-4-4-2-1-1-1-4-1-1-2-4	2-3-1-2-2-4-4-1-1-2-4-2	2-3-3-1-2-2-5-1-4-5-4-1	2-0-5-4-3-3-4-2-3-3-1-2	2-2-4-1-3-2-4-6-1-3-6-3	6-2-5-3-2-3-4-2-1-5-2-2	3-2-4-2-2-1-5-5-2-3-0-0	0-0-4-2-3-3-0-2-1-3-2-4	1-2-3-4-2-2-4-3-2-1-0-2	0-2-1-1-1-1-0-6-4-2-2-1	1-2-2-1-1-1-2-1-6-4-5-4
977	4	5-3-1-5-3-1-5-5-1-4-1-3	4-3-3-2-1-1-4-3-5-1-5-5	6-5-6-2-4-3-3-5-6-2-3-4	5-4-5-5-2-2-1-2-3-3-3-5	1-5-2-6-5-3-5-4-3-3-1-4	1-2-3-4-5-7-3-2-1-3-1-2	5-2-3-5-5-5-3-4-2-1-5-2	5-3-5-3-2-5-3-2-2-5-5-4	5-0-5-2-2-5-5-2-1-4-2-3	5-5-1-3-5-2-3-2-5-5-5-2	5-2-5-1-1-5-4-5-7-1-2-4	5-2-4-1-5-1-1-5-7-3-3-3
977	5	5-7-5-7-5-5-5-4-7-5-5-5	4-3-3-6-1-1-6-6-4-1-6-6	6-6-4-1-6-4-6-4-6-6-3-6	6-4-4-6-6-6-3-6-3-3-6-4	6-4-3-4-4-6-6-6-5-5-6-6	1-7-6-5-4-1-6-6-1-3-3-6	4-5-3-4-6-5-3-6-5-5-6-6	4-6-4-6-6-1-3-6-4-4-6-4	4-0-4-6-6-4-4-6-1-6-6-7	4-6-1-0-6-6-6-1-4-4-4-6	4-2-4-0-1-4-4-4-4-6-3-7	4-6-2-4-4-1-5-4-6-2-3-6
977	6	5-7-5-5-5-7-7-7-6-5-5-7	5-3-3-5-7-1-5-5-5-4-5-5	4-5-4-7-5-3-5-7-5-6-6-5	5-5-6-5-5-5-7-5-5-3-5-4	5-4-3-4-6-5-7-5-6-3-5-5	7-7-5-7-6-4-5-5-6-6-3-7	7-5-5-6-7-6-3-5-6-6-5-5	6-5-5-5-5-6-3-5-2-4-5-4	6-6-4-6-5-4-4-5-1-5-5-3	6-5-6-3-5-5-5-7-7-6-6-5	4-6-4-6-7-4-4-4-6-6-6-6	7-7-6-6-6-6-5-4-5-4-3-5
977	7	7-6-5-5-7-6-6-7-6-5-5-6	6-7-7-5-7-7-5-5-7-7-5-6	7-7-7-6-7-7-7-6-7-7-6-7	6-7-7-7-7-7-6-7-7-7-5-4	5-4-7-7-6-7-6-7-7-7-5-5	6-7-7-6-7-4-7-7-7-7-7-6	6-7-7-7-6-7-6-5-7-7-1-7	7-5-7-6-5-3-5-5-2-4-5-4	5-6-7-6-5-7-7-4-7-5-5-5	5-4-7-7-4-5-7-6-6-7-4-7	4-2-4-6-6-1-4-4-4-7-7-7	7-6-4-1-6-7-7-7-7-7-3-1
978	0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0	0-0-0-0-0-0-0-0-0-0-0-0
978	1	1-1-2-1-1-1-1-1-1-1-1-2	1-2-0-2-0-1-2-1-2-2-2-2	1-2-2-2-2-2-1-2-2-2-2-2	2-3-2-1-2-2-2-2-0-0-0-5	0-4-2-0-2-0-2-2-0-0-3-2	2-2-0-2-0-2-0-2-0-0-0-2	2-0-0-2-2-0-0-2-0-0-4-0	0-0-2-2-0-2-0-0-0-3-8-1	2-3-2-2-3-0-3-2-1-1-2-0	2-8-1-0-8-0-1-1-2-3-4-0	8-0-1-1-2-2-2-8-5-2-2-1	2-2-2-2-2-8-1-8-2-8-1-1
978	2	2-2-1-2-2-1-2-2-2-1-1-1	1-3-3-1-0-1-1-3-1-1-1-3	1-1-1-1-1-1-3-1-1-3-3-1	1-1-1-1-1-1-1-1-3-4-3-1	0-1-1-0-1-2-3-1-3-2-1-1	1-1-0-1-2-1-3-2-3-0-0-2	1-0-3-1-1-0-3-3-2-6-1-2	0-2-1-1-2-1-2-1-0-2-1-0	1-0-1-1-2-2-1-1-3-5-1-1	1-1-2-1-1-0-2-2-1-1-1-2	1-2-2-4-1-1-1-0-1-1-1-4	1-1-1-1-1-1-0-1-1-1-1-2
